anio,mes,dia,hora(utc),altura(mm)
2016,1,10,5,765 
2016,1,10,6,1244 
2016,1,10,7,1677 
2016,1,10,8,1963 
2016,1,10,9,2024 
2016,1,10,10,1868 
2016,1,10,11,1576 
2016,1,10,12,1235 
2016,1,10,13,919 
2016,1,10,14,708 
2016,1,10,15,658 
2016,1,10,16,761 
2016,1,10,17,956 
2016,1,10,18,1180 
2016,1,10,19,1371 
2016,1,10,20,1448 
2016,1,10,21,1333 
2016,1,10,22,1032 
2016,1,10,23,640 
2016,1,11,0,258 
2016,1,11,1,-50 
2016,1,11,2,-216 
2016,1,11,3,-180 
2016,1,11,4,65 
2016,1,11,5,463 
2016,1,11,6,943 
2016,1,11,7,1433 
2016,1,11,8,1836 
2016,1,11,9,2044 
2016,1,11,10,2006 
2016,1,11,11,1771 
2016,1,11,12,1435 
2016,1,11,13,1082 
2016,1,11,14,786 
2016,1,11,15,623 
2016,1,11,16,629 
2016,1,11,17,773 
2016,1,11,18,995 
2016,1,11,19,1235 
2016,1,11,20,1418 
2016,1,11,21,1450 
2016,1,11,22,1276 
2016,1,11,23,940 
2016,1,12,0,551 
2016,1,12,1,194 
2016,1,12,2,-72 
2016,1,12,3,-177 
2016,1,12,4,-76 
2016,1,12,5,215 
2016,1,12,6,637 
2016,1,12,7,1122 
2016,1,12,8,1586 
2016,1,12,9,1920 
2016,1,12,10,2031 
2016,1,12,11,1909 
2016,1,12,12,1626 
2016,1,12,13,1278 
2016,1,12,14,939 
2016,1,12,15,682 
2016,1,12,16,569 
2016,1,12,17,614 
2016,1,12,18,783 
2016,1,12,19,1021 
2016,1,12,20,1263 
2016,1,12,21,1420 
2016,1,12,22,1407 
2016,1,12,23,1203 
2016,1,13,0,877 
2016,1,13,1,524 
2016,1,13,2,214 
2016,1,13,3,4 
2016,1,13,4,-43 
2016,1,13,5,99 
2016,1,13,6,405 
2016,1,13,7,820 
2016,1,13,8,1276 
2016,1,13,9,1674 
2016,1,13,10,1913 
2016,1,13,11,1934 
2016,1,13,12,1758 
2016,1,13,13,1462 
2016,1,13,14,1127 
2016,1,13,15,820 
2016,1,13,16,606 
2016,1,13,17,531 
2016,1,13,18,599 
2016,1,13,19,780 
2016,1,13,20,1023 
2016,1,13,21,1251 
2016,1,13,22,1377 
2016,1,13,23,1340 
2016,1,14,0,1147 
2016,1,14,1,866 
2016,1,14,2,574 
2016,1,14,3,324 
2016,1,14,4,171 
2016,1,14,5,164 
2016,1,14,6,318 
2016,1,14,7,607 
2016,1,14,8,986 
2016,1,14,9,1377 
2016,1,14,10,1682 
2016,1,14,11,1826 
2016,1,14,12,1784 
2016,1,14,13,1587 
2016,1,14,14,1302 
2016,1,14,15,996 
2016,1,14,16,728 
2016,1,14,17,549 
2016,1,14,18,495 
2016,1,14,19,572 
2016,1,14,20,756 
2016,1,14,21,992 
2016,1,14,22,1199 
2016,1,14,23,1306 
2016,1,15,0,1279 
2016,1,15,1,1133 
2016,1,15,2,922 
2016,1,15,3,699 
2016,1,15,4,510 
2016,1,15,5,400 
2016,1,15,6,408 
2016,1,15,7,543 
2016,1,15,8,791 
2016,1,15,9,1106 
2016,1,15,10,1407 
2016,1,15,11,1616 
2016,1,15,12,1688 
2016,1,15,13,1616 
2016,1,15,14,1424 
2016,1,15,15,1163 
2016,1,15,16,891 
2016,1,15,17,655 
2016,1,15,18,495 
2016,1,15,19,448 
2016,1,15,20,525 
2016,1,15,21,705 
2016,1,15,22,928 
2016,1,15,23,1123 
2016,1,16,0,1238 
2016,1,16,1,1254 
2016,1,16,2,1179 
2016,1,16,3,1042 
2016,1,16,4,885 
2016,1,16,5,743 
2016,1,16,6,652 
2016,1,16,7,645 
2016,1,16,8,739 
2016,1,16,9,926 
2016,1,16,10,1160 
2016,1,16,11,1371 
2016,1,16,12,1506 
2016,1,16,13,1541 
2016,1,16,14,1465 
2016,1,16,15,1290 
2016,1,16,16,1056 
2016,1,16,17,810 
2016,1,16,18,589 
2016,1,16,19,433 
2016,1,16,20,381 
2016,1,16,21,454 
2016,1,16,22,627 
2016,1,16,23,844 
2016,1,17,0,1049 
2016,1,17,1,1203 
2016,1,17,2,1284 
2016,1,17,3,1282 
2016,1,17,4,1214 
2016,1,17,5,1105 
2016,1,17,6,983 
2016,1,17,7,881 
2016,1,17,8,835 
2016,1,17,9,873 
2016,1,17,10,991 
2016,1,17,11,1149 
2016,1,17,12,1294 
2016,1,17,13,1391 
2016,1,17,14,1419 
2016,1,17,15,1354 
2016,1,17,16,1198 
2016,1,17,17,982 
2016,1,17,18,744 
2016,1,17,19,518 
2016,1,17,20,350 
2016,1,17,21,289 
2016,1,17,22,356 
2016,1,17,23,530 
2016,1,18,0,763 
2016,1,18,1,1004 
2016,1,18,2,1217 
2016,1,18,3,1368 
2016,1,18,4,1433 
2016,1,18,5,1412 
2016,1,18,6,1322 
2016,1,18,7,1189 
2016,1,18,8,1050 
2016,1,18,9,951 
2016,1,18,10,927 
2016,1,18,11,986 
2016,1,18,12,1094 
2016,1,18,13,1210 
2016,1,18,14,1304 
2016,1,18,15,1343 
2016,1,18,16,1294 
2016,1,18,17,1149 
2016,1,18,18,933 
2016,1,18,19,679 
2016,1,18,20,431 
2016,1,18,21,244 
2016,1,18,22,172 
2016,1,18,23,241 
2016,1,19,0,436 
2016,1,19,1,708 
2016,1,19,2,1005 
2016,1,19,3,1284 
2016,1,19,4,1498 
2016,1,19,5,1610 
2016,1,19,6,1607 
2016,1,19,7,1501 
2016,1,19,8,1327 
2016,1,19,9,1135 
2016,1,19,10,979 
2016,1,19,11,906 
2016,1,19,12,932 
2016,1,19,13,1028 
2016,1,19,14,1150 
2016,1,19,15,1262 
2016,1,19,16,1321 
2016,1,19,17,1283 
2016,1,19,18,1132 
2016,1,19,19,892 
2016,1,19,20,605 
2016,1,19,21,324 
2016,1,19,22,116 
2016,1,19,23,41 
2016,1,20,0,131 
2016,1,20,1,369 
2016,1,20,2,697 
2016,1,20,3,1056 
2016,1,20,4,1396 
2016,1,20,5,1658 
2016,1,20,6,1787 
2016,1,20,7,1764 
2016,1,20,8,1611 
2016,1,20,9,1380 
2016,1,20,10,1129 
2016,1,20,11,927 
2016,1,20,12,833 
2016,1,20,13,862 
2016,1,20,14,978 
2016,1,20,15,1127 
2016,1,20,16,1266 
2016,1,20,17,1344 
2016,1,20,18,1304 
2016,1,20,19,1126 
2016,1,20,20,844 
2016,1,20,21,513 
2016,1,20,22,200 
2016,1,20,23,-20 
2016,1,21,0,-79 
2016,1,21,1,55 
2016,1,21,2,350 
2016,1,21,3,736 
2016,1,21,4,1152 
2016,1,21,5,1540 
2016,1,21,6,1822 
2016,1,21,7,1930 
2016,1,21,8,1854 
2016,1,21,9,1637 
2016,1,21,10,1344 
2016,1,21,11,1046 
2016,1,21,12,824 
2016,1,21,13,742 
2016,1,21,14,805 
2016,1,21,15,956 
2016,1,21,16,1139 
2016,1,21,17,1307 
2016,1,21,18,1393 
2016,1,21,19,1329 
2016,1,21,20,1106 
2016,1,21,21,775 
2016,1,21,22,407 
2016,1,21,23,74 
2016,1,22,0,-138 
2016,1,22,1,-156 
2016,1,22,2,37 
2016,1,22,3,390 
2016,1,22,4,828 
2016,1,22,5,1288 
2016,1,22,6,1698 
2016,1,22,7,1960 
2016,1,22,8,2009 
2016,1,22,9,1860 
2016,1,22,10,1578 
2016,1,22,11,1235 
2016,1,22,12,915 
2016,1,22,13,707 
2016,1,22,14,667 
2016,1,22,15,775 
2016,1,22,16,963 
2016,1,22,17,1179 
2016,1,22,18,1366 
2016,1,22,19,1438 
2016,1,22,20,1329 
2016,1,22,21,1055 
2016,1,22,22,685 
2016,1,22,23,297 
2016,1,23,0,-30 
2016,1,23,1,-205 
2016,1,23,2,-162 
2016,1,23,3,92 
2016,1,23,4,492 
2016,1,23,5,966 
2016,1,23,6,1447 
2016,1,23,7,1840 
2016,1,23,8,2039 
2016,1,23,9,2004 
2016,1,23,10,1782 
2016,1,23,11,1448 
2016,1,23,12,1081 
2016,1,23,13,773 
2016,1,23,14,612 
2016,1,23,15,626 
2016,1,23,16,775 
2016,1,23,17,995 
2016,1,23,18,1234 
2016,1,23,19,1418 
2016,1,23,20,1448 
2016,1,23,21,1284 
2016,1,23,22,970 
2016,1,23,23,584 
2016,1,24,0,203 
2016,1,24,1,-85 
2016,1,24,2,-195 
2016,1,24,3,-84 
2016,1,24,4,220 
2016,1,24,5,649 
2016,1,24,6,1137 
2016,1,24,7,1602 
2016,1,24,8,1930 
2016,1,24,9,2034 
