45.4, 21089, -68.5, -92.5, 2, 0.00,18,12,495.1,495.1,495.1
44.0, 21279, -67.6, -92.2, 2, 0.00,50, 8,501.8,501.8,501.8
42.0, 21562, -66.2, -91.7, 2, 0.00,165, 2,511.9,511.9,511.9
40.0, 21858, -64.8, -91.3, 2, 0.00, 0, 2,522.7,522.7,522.7
38.0, 22170, -63.3, -90.8, 1, 0.00, 5, 9,534.2,534.2,534.2
37.0, 22332, -62.5, -90.5, 1, 0.00,19,10,540.3,540.3,540.3
34.0, 22855, -61.8, -90.6, 1, 0.00,65,12,555.4,555.5,555.4
33.0, 23040, -61.5, -90.6, 1, 0.00,75,10,560.9,560.9,560.9
31.0, 23427, -61.0, -90.7, 1, 0.00,105,12,572.4,572.5,572.4
30.0, 23630, -60.7, -90.7, 1, 0.00,85,12,578.6,578.6,578.6
28.8, 23884, -60.7, -90.7, 1, 0.00,88,11,585.4,585.4,585.4
28.0, 24061, -60.1, -90.5, 1, 0.00,90,10,591.8,591.9,591.8
27.0, 24291, -59.3, -90.3, 1, 0.00,20, 7,600.2,600.3,600.2
23.0, 25301, -55.8, -89.3, 1, 0.01,45, 5,638.7,638.7,638.7
